Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
190001,-0.30
190002,-0.17
190003,-0.03
190004,-0.05
190005,-0.06
190006,-0.07
190007,-0.11
190008,-0.07
190009,-0.05
190010,0.06
190011,-0.07
190012,-0.06
190101,-0.12
190102,-0.08
190103,0.04
190104,0.00
190105,-0.08
190106,-0.08
190107,-0.09
190108,-0.14
190109,-0.18
190110,-0.27
190111,-0.20
190112,-0.37
190201,-0.16
190202,-0.04
190203,-0.28
190204,-0.28
190205,-0.27
190206,-0.26
190207,-0.23
190208,-0.23
190209,-0.22
190210,-0.27
190211,-0.31
190212,-0.27
190301,-0.15
190302,-0.03
190303,-0.17
190304,-0.30
190305,-0.33
190306,-0.30
190307,-0.32
190308,-0.40
190309,-0.42
190310,-0.48
190311,-0.47
190312,-0.46
190401,-0.49
190402,-0.53
190403,-0.53
190404,-0.46
190405,-0.45
190406,-0.40
190407,-0.44
190408,-0.41
190409,-0.48
190410,-0.35
190411,-0.25
190412,-0.35
190501,-0.27
190502,-0.44
190503,-0.35
190504,-0.42
190505,-0.24
190506,-0.20
190507,-0.18
190508,-0.22
190509,-0.21
190510,-0.22
190511,-0.08
190512,-0.08
190601,-0.21
190602,-0.21
190603,-0.20
190604,-0.09
190605,-0.21
190606,-0.16
190607,-0.20
190608,-0.21
190609,-0.26
190610,-0.21
190611,-0.34
190612,-0.18
190701,-0.37
190702,-0.39
190703,-0.25
190704,-0.30
190705,-0.38
190706,-0.32
190707,-0.34
190708,-0.30
190709,-0.32
190710,-0.26
190711,-0.37
190712,-0.42
190801,-0.37
190802,-0.32
190803,-0.51
190804,-0.41
190805,-0.34
190806,-0.32
190807,-0.35
190808,-0.42
190809,-0.36
190810,-0.44
190811,-0.54
190812,-0.44
190901,-0.50
190902,-0.38
190903,-0.52
190904,-0.59
190905,-0.48
190906,-0.45
190907,-0.40
190908,-0.33
190909,-0.36
190910,-0.39
190911,-0.38
190912,-0.42
191001,-0.30
191002,-0.35
191003,-0.52
191004,-0.37
191005,-0.31
